entity,label
6,CARDINAL
19,CARDINAL
2006,DATE
9,CARDINAL
gazette &c.,ORG
10,CARDINAL
11,CARDINAL
12,CARDINAL
1,CARDINAL
2,CARDINAL
addressee,NORP
addressee,NORP
addressee,NORP
13,CARDINAL
1,CARDINAL
addressee,NORP
addressee,NORP
2,CARDINAL
8,CARDINAL
2006,DATE
3,CARDINAL
addressee,NORP
addressee,NORP
14,DATE
1,CARDINAL
addressee,NORP
2,CARDINAL
addressee,NORP
addressee,NORP
19,CARDINAL
addressee,NORP
addressee,NORP
addressee,NORP
3,CARDINAL
addressee,NORP
addressee,NORP
4,CARDINAL
2,CARDINAL
3,CARDINAL
5,CARDINAL
more than one,CARDINAL
addressee,NORP
10,CARDINAL
addressee,NORP
15,CARDINAL
chapter iii,LAW
16,CARDINAL
1,CARDINAL
third,ORDINAL
2,CARDINAL
19,CARDINAL
17,CARDINAL
18,CARDINAL
1,CARDINAL
